Instance Type,Market,vCPU,RAM (GiB),Storage,Price ($/h),Price ($/m),Price ($/y),Unit,Terms
d2.2xlarge,ondemand,8,61.0,6 x 2000 HDD,1.38,993.5999999999999,11923.199999999999,hrs,"OnDemand, Reserved"
c6gn.8xlarge,ondemand,32,64.0,EBS only,1.3824,995.3280000000001,11943.936000000002,hrs,"OnDemand, Reserved"
r6in.4xlarge,ondemand,16,128.0,EBS only,1.39464,1004.1408000000001,12049.689600000002,hrs,"OnDemand, Reserved"
m6id.2xlarge,ondemand,8,32.0,1 x 474 SSD,1.4346,1032.912,12394.944,hrs,"OnDemand, Reserved"
m6gd.8xlarge,ondemand,32,128.0,1 x 1900 NVMe SSD,1.4464,1041.408,12496.895999999999,hrs,"OnDemand, Reserved"
c7gd.8xlarge,ondemand,32,64.0,1 x 1900 NVMe SSD,1.4515,1045.08,12540.96,hrs,"OnDemand, Reserved"
im4gn.4xlarge,ondemand,16,64.0,1 x 7500 SSD,1.45517,1047.7224,12572.668800000001,hrs,"OnDemand, Reserved"
r5.2xlarge,ondemand,8,64.0,EBS only,1.464,1054.08,12648.96,hrs,"OnDemand, Reserved"
r7a.4xlarge,ondemand,16,128.0,EBS only,1.4876,1071.0720000000001,12852.864000000001,hrs,"OnDemand, Reserved"
m5dn.2xlarge,ondemand,8,32.0,1 x 300 NVMe SSD,1.504,1082.88,12994.560000000001,hrs,"OnDemand, Reserved"
c5.9xlarge,ondemand,36,72.0,EBS only,1.53,1101.6,13219.199999999999,hrs,"OnDemand, Reserved"
m6i.8xlarge,ondemand,32,128.0,EBS only,1.536,1105.92,13271.04,hrs,"OnDemand, Reserved"
m5.8xlarge,ondemand,32,128.0,EBS only,1.536,1105.92,13271.04,hrs,"OnDemand, Reserved"
r5b.2xlarge,ondemand,8,64.0,EBS only,1.556,1120.32,13443.84,hrs,"OnDemand, Reserved"
r6id.2xlarge,ondemand,8,64.0,1 x 474 SSD,1.5648,1126.656,13519.872,hrs,"OnDemand, Reserved"
i3.2xlarge,ondemand,8,61.0,1 x 1900 NVMe SSD,1.584,1140.48,13685.76,hrs,"OnDemand, Reserved"
r3.4xlarge,ondemand,16,122.0,1 x 320 SSD,1.598,1150.5600000000002,13806.720000000001,hrs,"OnDemand, Reserved"
r6g.8xlarge,ondemand,32,256.0,EBS only,1.6128,1161.216,13934.591999999999,hrs,"OnDemand, Reserved"
g5.4xlarge,ondemand,16,64.0,1 x 600 GB NVMe SSD,1.624,1169.28,14031.36,hrs,"OnDemand, Reserved"
c6g.12xlarge,ondemand,48,96.0,EBS only,1.632,1175.04,14100.48,hrs,"OnDemand, Reserved"
t3a.xlarge,ondemand,4,16.0,EBS only,1.6504,1188.288,14259.456,hrs,"OnDemand, Reserved"
c6a.xlarge,ondemand,4,8.0,EBS only,1.653,1190.16,14281.920000000002,hrs,"OnDemand, Reserved"
c5a.xlarge,ondemand,4,8.0,EBS only,1.654,1190.8799999999999,14290.559999999998,hrs,"OnDemand, Reserved"
x2iedn.2xlarge,ondemand,8,256.0,1 x 237 NVMe SSD,1.66725,1200.4199999999998,14405.039999999997,hrs,"OnDemand, Reserved"
m5a.xlarge,ondemand,4,16.0,EBS only,1.672,1203.84,14446.079999999998,hrs,"OnDemand, Reserved"
c5ad.xlarge,ondemand,4,8.0,1 x 150 NVMe SSD,1.672,1203.84,14446.079999999998,hrs,"OnDemand, Reserved"
c7i.xlarge,ondemand,4,8.0,EBS only,1.6785,1208.52,14502.24,hrs,"OnDemand, Reserved"
m7i-flex.xlarge,ondemand,4,16.0,EBS only,1.69152,1217.8944,14614.732799999998,hrs,"OnDemand, Reserved"
c6id.xlarge,ondemand,4,8.0,1 x 237 NVMe SSD,1.7016,1225.152,14701.824,hrs,"OnDemand, Reserved"
m7gd.8xlarge,ondemand,32,128.0,1 x 1900 NVMe SSD,1.7086,1230.192,14762.304,hrs,"OnDemand, Reserved"
r7g.8xlarge,ondemand,32,256.0,EBS only,1.7136,1233.792,14805.503999999999,hrs,"OnDemand, Reserved"
r5a.xlarge,ondemand,4,32.0,EBS only,1.726,1242.72,14912.64,hrs,"OnDemand, Reserved"
m5d.xlarge,ondemand,4,16.0,1 x 150 NVMe SSD,1.726,1242.72,14912.64,hrs,"OnDemand, Reserved"
g4ad.8xlarge,ondemand,32,128.0,1200 GB NVMe SSD,1.734,1248.48,14981.76,hrs,"OnDemand, Reserved"
